record_id,source_name,title,source_url,date,summary,category,project,collected_date,Company Name,Industry,Key Figures Mentioned
1,CNBC Business RSS,Replimune to resubmit twice-rejected drug for approval after FDA shakeup,https://www.cnbc.com/2026/05/29/replimune-resubmit-melanoma-drug-fda-makary.html,2026-05-29,Replimune was among the drugmakers that had criticized the FDA for what they called inconsistent guidance around trials and approvals.,Business News,Market Intelligence Agent,2026/5/29,Replimune,Biotechnology,N/A
2,CNBC Business RSS,Our flavors are on the shelf': The evolution of Asian grocery beyond the 'ethnic aisle',https://www.cnbc.com/2026/05/29/asian-foods-beyond-ethnic-aisle.html,2026-05-29,"As interest in Asian flavors rises, mainstream grocery stores are incorporating more Asian groceries to work toward being a one-stop shop for all consumers.",Business News,Market Intelligence Agent,2026/5/29,Asian Grocery Market,Retail / Consumer Goods,N/A
3,CNBC Business RSS,Disney's ABC files early broadcast licenses renewal. FCC Chair vows to 'follow the facts',https://www.cnbc.com/2026/05/28/disney-fcc-broadcast-licenses-renewal.html,2026-05-29,"Disney said it filed renewals for eight broadcast station licenses ""under protest,"" after the FCC launched an early review years ahead of schedule. ",Business News,Market Intelligence Agent,2026/5/29,Disney,Media & Entertainment,8 broadcast licenses
4,CNBC Business RSS,Costco says it saw 'record-breaking' gas volumes amid rising prices,https://www.cnbc.com/2026/05/28/costco-cost-q3-2026-earnings.html,2026-05-28,"Costco saw ""recording-breaking volumes"" of gas sales and said rising fuel prices drove first-time members to its stations. ",Business News,Market Intelligence Agent,2026/5/29,Costco,Retail,Record-breaking gas volumes
5,CNBC Business RSS,Gap shares tumble 14% as retailer cuts sales guidance after disappointing Old Navy performance,https://www.cnbc.com/2026/05/28/gap-gap-earnings-q1-2026.html,2026-05-28,"Gap issued mixed results as sales at its largest brand, Old Navy, fell short of estimates. ",Business News,Market Intelligence Agent,2026/5/29,Gap,Retail,14% share decline
6,CNBC Business RSS,"American Eagle's Aerie is booming, but its namesake brand is lagging despite Sydney Sweeney ads",https://www.cnbc.com/2026/05/28/american-eagle-aeo-earnings-q1-2026.html,2026-05-28,American Eagle beat Wall Street's expectations but sales at its namesake banner fell short of estimates after its latest Sydney Sweeney campaign.,Business News,Market Intelligence Agent,2026/5/29,American Eagle,Retail / Apparel,N/A
7,CNBC Business RSS,"CVS to restore coverage of Zepbound, add Eli Lilly's obesity pill to drug plans",https://www.cnbc.com/2026/05/28/cvs-covers-zepbound-adds-eli-lilly-foundayo.html,2026-05-28,"CVS will add Zepbound coverage on Oct. 1, and start covering Lilly's newly approved Foundayo pill on June 1. ",Business News,Market Intelligence Agent,2026/5/29,CVS Health,Healthcare,Oct 1 coverage start
8,CNBC Business RSS,"More monthly auto loan payments are above $1,000, and most are not for luxury models",https://www.cnbc.com/2026/05/28/monthly-auto-loan-payments-above-1000-growing.html,2026-05-28,"The top five models for the $1,000-plus payments were popular pickup trucks including the Ford F-150, Chevrolet Silverado 1500 and Ram 1500. ",Business News,Market Intelligence Agent,2026/5/29,Auto Loan Market,Automotive Finance,"$1,000+ monthly payments"
9,CNBC Business RSS,New York passes Mamdani's pied-a-terre tax. Here's who pays and how much,https://www.cnbc.com/2026/05/28/new-york-mamdani-pied-a-terre-tax-passes.html,2026-05-28,Citadel CEO Ken Griffin became the face of the tax after New York City Mayor Zohran Mamdani posted a video in front of Griffin's penthouse apartment.,Business News,Market Intelligence Agent,2026/5/29,New York Real Estate,Real Estate,N/A
10,CNBC Business RSS,Best Buy stock climbs 15% on earnings beat as retailer aims to reinvigorate sales,https://www.cnbc.com/2026/05/28/best-buy-bby-q1-2027-earnings.html,2026-05-28,Best Buy reported better-than-expected earnings on Thursday as the company works toward turning around its sales slump.,Business News,Market Intelligence Agent,2026/5/29,Best Buy,Consumer Electronics Retail,15% stock increase
11,CNBC Business RSS,New '60 Minutes' head Nick Bilton says Paramount's CBS News hired him to pivot the show before ratings decline,https://www.cnbc.com/2026/05/28/60-minutes-head-nick-bilton-show-ratings.html,2026-05-28,"Nick Bilton is a former New York Times columnist and has made several documentaries for Netflix, where he worked with CBS News editor-in-chief Bari Weiss.",Business News,Market Intelligence Agent,2026/5/29,Paramount / CBS,Media,N/A
12,CNBC Business RSS,Kohl's stock spikes 20% as slumping retailer says sales trends are improving,https://www.cnbc.com/2026/05/28/kohls-kss-earnings-q1-2026.html,2026-05-28,Kohl's reported its best comparable sales growth in four years on Thursday even as it saw revenue decline.,Business News,Market Intelligence Agent,2026/5/29,Kohl's,Retail,20% stock increase
13,CNBC Business RSS,Jamie Dimon says JPMorgan Chase could spend $20 billion on acquisition: 'We are on the lookout',https://www.cnbc.com/2026/05/27/jamie-dimon-jpmorgan-chase-acquisition-target-size.html,2026-05-27,A $20 billion deal would be among the largest in JPMorgan's history and could invite regulatory scrutiny given its position as the largest U.S. bank by assets.,Business News,Market Intelligence Agent,2026/5/29,JPMorgan Chase,Banking,$20 billion
14,CNBC Business RSS,Boeing CEO says company met requirements to increase 737 Max production to 47 jets per month,https://www.cnbc.com/2026/05/27/boeing-ortberg-737-max-production.html,2026-05-27,Boeing CEO Kelly Ortberg said the company has met FAA requirements to ramp up its production of 737 Max aircraft to 47 per month. ,Business News,Market Intelligence Agent,2026/5/29,Boeing,Aerospace,47 jets per month
15,CNBC Business RSS,"Lululemon settles proxy battle with founder Chip Wilson, agrees to two board nominees",https://www.cnbc.com/2026/05/27/lululemon-settles-proxy-battle-with-founder-chip-wilson.html,2026-05-27,"Lululemon has been battling with founder Chip Wilson since December, as he says the company has lost its strategic vision and needs a new board of directors.",Business News,Market Intelligence Agent,2026/5/29,Lululemon,Apparel,N/A
16,CNBC Business RSS,Abercrombie shares jump 12% on earnings beat even as Iran conflict hits sales,https://www.cnbc.com/2026/05/27/abercrombie-fitch-anf-earnings-q1-2026.html,2026-05-27,"Abercrombie & Fitch saw sales in Europe, Middle East and Africa decline by 10%, thanks in large part to the conflict in the Middle East. ",Business News,Market Intelligence Agent,2026/5/29,Abercrombie & Fitch,Retail / Apparel,10% decline
17,CNBC Business RSS,Foot Locker returns to growth but weighs on Dick's Sporting Goods as earnings miss,https://www.cnbc.com/2026/05/27/dicks-sporting-goods-dks-earnings-q1-2026.html,2026-05-27,"Since acquiring Foot Locker, Dick's Sporting Goods sales have surged, but its profitability has taken a hit given the high costs of the brand's turnaround.",Business News,Market Intelligence Agent,2026/5/29,Dick's Sporting Goods,Retail,N/A
18,CNBC Business RSS,"AutoZone stock has worst day in four years, despite retailer beating Wall Street estimates",https://www.cnbc.com/2026/05/26/autozone-stock-on-pace-for-worst-trading-day-since-march-2020.html,2026-05-26,"Concerns include international growth and margin compression as well as pressures from inflation, energy costs and potential supply chain disruptions.",Business News,Market Intelligence Agent,2026/5/29,AutoZone,Automotive Retail,N/A
19,CNBC Business RSS,American Airlines picks SpaceX's Starlink for in-flight Wi-Fi on more than 500 planes,https://www.cnbc.com/2026/05/26/american-airlines-spacex-starlink.html,2026-05-26,American Airlines said it will install SpaceX's Starlink for inflight Wi-Fi on more than 500 of its airplanes.,Business News,Market Intelligence Agent,2026/5/29,American Airlines / SpaceX,Aviation,500+ planes
20,CNBC Business RSS,"Move over, seltzer. Non-carbonated drinks are taking the spotlight",https://www.cnbc.com/2026/05/24/move-over-seltzer-non-carbonated-drinks-are-taking-the-spotlight.html,2026-05-25,"Non-carbonated alcoholic drinks like Surfside and BeatBox are stealing ""share of throat"" from hard seltzers, particularly among Gen Z.",Business News,Market Intelligence Agent,2026/5/29,Alcoholic Beverage Market,Consumer Goods,N/A
21,Amazon News RSS,Amazon's water conservation and replenishment efforts around the world,https://www.aboutamazon.com/news/sustainability/amazon-water-conservation-replenishment-sustainability?utm_source=rss,2026-05-29,Get the latest updates on how weĺre reducing our water footprint and investing in innovations to address water scarcity., Sustainability,Market Intelligence Agent,2026/5/29,Amazon,Logistics & Supply Chain,Security standards and fraud prevention
22,Amazon News RSS,How Amazon protects cargo from fraud and theft across its shipping network,https://www.aboutamazon.com/news/operations/amazon-freight-security-relay-carrier-fraud?utm_source=rss,2026-05-29,"Amazon evaluates carriers using rigorous security and safety standards, smart trailer technology, chain-of-custody controls, and law enforcement collaboration.",Operations,Market Intelligence Agent,2026/5/29,Amazon,Community Development,Indiana investment
23,Amazon News RSS,5 ways Amazon is investing in Indiana,https://www.aboutamazon.com/news/community/amazon-investment-indiana-jobs-infrastructure-small-business?utm_source=rss,2026-05-28,Amazon's investments are boosting the Hoosier State's economy while creating opportunities for those who call Indiana home.,Community,Market Intelligence Agent,2026/5/29,Amazon Web Services (AWS),Cloud Computing & AI,AI agents
24,Amazon News RSS,How Amazon is building AI that takes action in the real world,https://www.aboutamazon.com/news/aws/how-amazon-builds-ai-agents?utm_source=rss,2026-05-28,Amazon is building AI agents that combine reliable foundation models with purpose-built infrastructure to deliver incredible accuracy on real-world tasks.,AWS,Market Intelligence Agent,2026/5/29,Amazon Web Services (AWS),Cloud Infrastructure,Network redesign
25,Amazon News RSS,The radical network redesign that led AWS to forge a more resilient cloud,https://www.aboutamazon.com/stories/aws-random-graph-theory-data-center-network-design?utm_source=rss,2026-05-28,"How a Slack shout-out, a dusted-off academic theory, and a spaghetti monster led an AWS team to crack an elusive codeŚand deliver greater reliability and performance for customers.",AWS,Market Intelligence Agent,2026/5/29,Amazon,Sustainability & Transportation,Shinkansen delivery network
26,Amazon News RSS,Amazon is now using Japanĺs iconic Shinkansen bullet trains to deliver packages,https://www.aboutamazon.com/news/sustainability/amazon-japan-shinkansen-bullet-train?utm_source=rss,2026-05-28,"By leveraging the world-class Shinkansen network, known for its punctuality and speed, Amazon is further advancing the decarbonization of its transportation network.",Sustainability,Market Intelligence Agent,2026/5/29,Amazon Health Services,Healthcare,Dr. Roy Schoenberg appointment
27,Amazon News RSS,An update on Amazon Health Services leadership,https://www.aboutamazon.com/news/company-news/neil-lindsay-amazon-health-services-roy-schoenberg?utm_source=rss,2026-05-27,Doug Herrington and Neil Lindsay welcome Dr. Roy Schoenberg as new head of healthcare business.,Company news,Market Intelligence Agent,2026/5/29,Amazon Web Services (AWS),Retail AI & Cloud Computing,Agentic Shopping Assistant
28,Amazon News RSS,How AWS is helping retailers build their own AI-powered shopping experiences ,https://www.aboutamazon.com/news/aws/aws-agentic-shopping-assistant-retailers?utm_source=rss,2026-05-27,The Agentic Shopping Assistant on AWS brings the expertise and insights behind Amazonĺs successful Alexa for Shopping AI assistant to retail customers.,AWS,Market Intelligence Agent,2026/5/29,Amazon,Community Development,HQ2 community investment
29,Amazon News RSS,"Amazon in the community: Service, community, and commitment at HQ2",https://www.aboutamazon.com/news/community/amazon-arlington-virginia-news?utm_source=rss,2026-05-21,"Learn how we invest in the community, help power the local economy, and support our employees in the National Capital Region.",Community,Market Intelligence Agent,2026/5/29,Amazon Web Services (AWS),Cloud Computing,AWS data center communities
30,Amazon News RSS,Amazon data center communities: Hereĺs whatĺs happening near data centers across the US,https://www.aboutamazon.com/news/aws/amazon-data-centers-locations-news?utm_source=rss,2026-05-21,"Get the latest updates on how Amazon supports small businesses, creates jobs, sets up sustainability initiatives, and develops educational programs near AWS data centers.",AWS,Market Intelligence Agent,2026/5/29,Amazon,Sustainability,Water conservation initiatives
31,Amazon News RSS,Amazon's water conservation and replenishment efforts around the world,https://www.aboutamazon.com/news/sustainability/amazon-water-conservation-replenishment-sustainability?utm_source=rss,2026-05-29,Get the latest updates on how weĺre reducing our water footprint and investing in innovations to address water scarcity.,Sustainability,Market Intelligence Agent,2026/5/29,Amazon,Logistics & Supply Chain,Security standards and fraud prevention
32,Amazon News RSS,How Amazon protects cargo from fraud and theft across its shipping network,https://www.aboutamazon.com/news/operations/amazon-freight-security-relay-carrier-fraud?utm_source=rss,2026-05-29,"Amazon evaluates carriers using rigorous security and safety standards, smart trailer technology, chain-of-custody controls, and law enforcement collaboration.",Operations,Market Intelligence Agent,2026/5/29,Amazon,Community Development,Indiana investment
33,Amazon News RSS,5 ways Amazon is investing in Indiana,https://www.aboutamazon.com/news/community/amazon-investment-indiana-jobs-infrastructure-small-business?utm_source=rss,2026-05-28,Amazon's investments are boosting the Hoosier State's economy while creating opportunities for those who call Indiana home.,Community,Market Intelligence Agent,2026/5/29,Amazon Web Services (AWS),Cloud Computing & AI,AI agents
34,Amazon News RSS,How Amazon is building AI that takes action in the real world,https://www.aboutamazon.com/news/aws/how-amazon-builds-ai-agents?utm_source=rss,2026-05-28,Amazon is building AI agents that combine reliable foundation models with purpose-built infrastructure to deliver incredible accuracy on real-world tasks.,AWS,Market Intelligence Agent,2026/5/29,Amazon Web Services (AWS),Cloud Infrastructure,Network redesign
35,Amazon News RSS,The radical network redesign that led AWS to forge a more resilient cloud,https://www.aboutamazon.com/stories/aws-random-graph-theory-data-center-network-design?utm_source=rss,2026-05-28,"How a Slack shout-out, a dusted-off academic theory, and a spaghetti monster led an AWS team to crack an elusive codeŚand deliver greater reliability and performance for customers.",AWS,Market Intelligence Agent,2026/5/29,Amazon,Sustainability & Transportation,Shinkansen delivery network
36,Amazon News RSS,Amazon is now using Japanĺs iconic Shinkansen bullet trains to deliver packages,https://www.aboutamazon.com/news/sustainability/amazon-japan-shinkansen-bullet-train?utm_source=rss,2026-05-28,"By leveraging the world-class Shinkansen network, known for its punctuality and speed, Amazon is further advancing the decarbonization of its transportation network.",Sustainability,Market Intelligence Agent,2026/5/29,Amazon Health Services,Healthcare,Dr. Roy Schoenberg appointment
37,Amazon News RSS,An update on Amazon Health Services leadership,https://www.aboutamazon.com/news/company-news/neil-lindsay-amazon-health-services-roy-schoenberg?utm_source=rss,2026-05-27,Doug Herrington and Neil Lindsay welcome Dr. Roy Schoenberg as new head of healthcare business.,Company news,Market Intelligence Agent,2026/5/29,Amazon Web Services (AWS),Retail AI & Cloud Computing,Agentic Shopping Assistant
38,Amazon News RSS,How AWS is helping retailers build their own AI-powered shopping experiences ,https://www.aboutamazon.com/news/aws/aws-agentic-shopping-assistant-retailers?utm_source=rss,2026-05-27,The Agentic Shopping Assistant on AWS brings the expertise and insights behind Amazonĺs successful Alexa for Shopping AI assistant to retail customers.,AWS,Market Intelligence Agent,2026/5/29,Amazon,Community Development,HQ2 community investment
39,Amazon News RSS,"Amazon in the community: Service, community, and commitment at HQ2",https://www.aboutamazon.com/news/community/amazon-arlington-virginia-news?utm_source=rss,2026-05-21,"Learn how we invest in the community, help power the local economy, and support our employees in the National Capital Region.",Community,Market Intelligence Agent,2026/5/29,Amazon Web Services (AWS),Cloud Computing,AWS data center communities
40,Amazon News RSS,Amazon data center communities: Hereĺs whatĺs happening near data centers across the US,https://www.aboutamazon.com/news/aws/amazon-data-centers-locations-news?utm_source=rss,2026-05-21,"Get the latest updates on how Amazon supports small businesses, creates jobs, sets up sustainability initiatives, and develops educational programs near AWS data centers.",AWS,Market Intelligence Agent,2026/5/29,Amazon,Sustainability,Water conservation initiatives
41,Amazon News RSS,Amazon's water conservation and replenishment efforts around the world,https://www.aboutamazon.com/news/sustainability/amazon-water-conservation-replenishment-sustainability?utm_source=rss,2026-05-29,Get the latest updates on how weĺre reducing our water footprint and investing in innovations to address water scarcity.,Sustainability,Market Intelligence Agent,2026/5/29,Amazon,Logistics & Supply Chain,Security standards and fraud prevention
42,Amazon News RSS,Amazon's water conservation and replenishment efforts around the world,https://www.aboutamazon.com/news/sustainability/amazon-water-conservation-replenishment-sustainability?utm_source=rss,2026-05-29,Get the latest updates on how weĺre reducing our water footprint and investing in innovations to address water scarcity.,Sustainability,Market Intelligence Agent,2026/5/29,Amazon,Community Development,Indiana investment
43,Amazon News RSS,How Amazon protects cargo from fraud and theft across its shipping network,https://www.aboutamazon.com/news/operations/amazon-freight-security-relay-carrier-fraud?utm_source=rss,2026-05-29,"Amazon evaluates carriers using rigorous security and safety standards, smart trailer technology, chain-of-custody controls, and law enforcement collaboration.",Operations,Market Intelligence Agent,2026/5/29,Amazon Web Services (AWS),Cloud Computing & AI,AI agents
44,Amazon News RSS,5 ways Amazon is investing in Indiana,https://www.aboutamazon.com/news/community/amazon-investment-indiana-jobs-infrastructure-small-business?utm_source=rss,2026-05-28,Amazon's investments are boosting the Hoosier State's economy while creating opportunities for those who call Indiana home.,Community,Market Intelligence Agent,2026/5/29,Amazon Web Services (AWS),Cloud Infrastructure,Network redesign
45,Amazon News RSS,How Amazon is building AI that takes action in the real world,https://www.aboutamazon.com/news/aws/how-amazon-builds-ai-agents?utm_source=rss,2026-05-28,Amazon is building AI agents that combine reliable foundation models with purpose-built infrastructure to deliver incredible accuracy on real-world tasks.,AWS,Market Intelligence Agent,2026/5/29,Amazon,Sustainability & Transportation,Shinkansen delivery network
46,Amazon News RSS,The radical network redesign that led AWS to forge a more resilient cloud,https://www.aboutamazon.com/stories/aws-random-graph-theory-data-center-network-design?utm_source=rss,2026-05-28,"How a Slack shout-out, a dusted-off academic theory, and a spaghetti monster led an AWS team to crack an elusive codeŚand deliver greater reliability and performance for customers.",AWS,Market Intelligence Agent,2026/5/29,Amazon Health Services,Healthcare,Dr. Roy Schoenberg appointment
47,Amazon News RSS,Amazon is now using Japanĺs iconic Shinkansen bullet trains to deliver packages,https://www.aboutamazon.com/news/sustainability/amazon-japan-shinkansen-bullet-train?utm_source=rss,2026-05-28,"By leveraging the world-class Shinkansen network, known for its punctuality and speed, Amazon is further advancing the decarbonization of its transportation network.",Sustainability,Market Intelligence Agent,2026/5/29,Amazon Web Services (AWS),Retail AI & Cloud Computing,Agentic Shopping Assistant
48,Amazon News RSS,An update on Amazon Health Services leadership,https://www.aboutamazon.com/news/company-news/neil-lindsay-amazon-health-services-roy-schoenberg?utm_source=rss,2026-05-27,Doug Herrington and Neil Lindsay welcome Dr. Roy Schoenberg as new head of healthcare business.,Company news,Market Intelligence Agent,2026/5/29,Amazon,Community Development,HQ2 community investment
49,Amazon News RSS,How AWS is helping retailers build their own AI-powered shopping experiences,https://www.aboutamazon.com/news/aws/aws-agentic-shopping-assistant-retailers?utm_source=rss,2026-05-27,The Agentic Shopping Assistant on AWS brings the expertise and insights behind Amazonĺs successful Alexa for Shopping AI assistant to retail customers.,AWS,Market Intelligence Agent,2026/5/29,Amazon Web Services (AWS),Cloud Computing,AWS data center communities
50,Amazon News RSS,"Amazon in the community: Service, community, and commitment at HQ2",https://www.aboutamazon.com/news/community/amazon-arlington-virginia-news?utm_source=rss,2026-05-21,"Learn how we invest in the community, help power the local economy, and support our employees in the National Capital Region.",Community,Market Intelligence Agent,2026/5/29,Amazon,Sustainability,Water conservation initiatives
51,Amazon News RSS,Amazon data center communities: Hereĺs whatĺs happening near data centers across the US,https://www.aboutamazon.com/news/aws/amazon-data-centers-locations-news?utm_source=rss,2026-05-21,"Get the latest updates on how Amazon supports small businesses, creates jobs, sets up sustainability initiatives, and develops educational programs near AWS data centers.",AWS,Market Intelligence Agent,2026/5/29,Amazon,Logistics & Supply Chain,Security standards and fraud prevention
52,Amazon News RSS,Amazon's water conservation and replenishment efforts around the world,https://www.aboutamazon.com/news/sustainability/amazon-water-conservation-replenishment-sustainability?utm_source=rss,2026-05-29,Get the latest updates on how weĺre reducing our water footprint and investing in innovations to address water scarcity.,Sustainability,Market Intelligence Agent,2026/5/29,Amazon,Community Development,Indiana investment
53,Amazon News RSS,How Amazon protects cargo from fraud and theft across its shipping network,https://www.aboutamazon.com/news/operations/amazon-freight-security-relay-carrier-fraud?utm_source=rss,2026-05-29,"Amazon evaluates carriers using rigorous security and safety standards, smart trailer technology, chain-of-custody controls, and law enforcement collaboration.",Operations,Market Intelligence Agent,2026/5/29,Amazon Web Services (AWS),Cloud Computing & AI,AI agents
54,Amazon News RSS,5 ways Amazon is investing in Indiana,https://www.aboutamazon.com/news/community/amazon-investment-indiana-jobs-infrastructure-small-business?utm_source=rss,2026-05-28,Amazon's investments are boosting the Hoosier State's economy while creating opportunities for those who call Indiana home.,Community,Market Intelligence Agent,2026/5/29,Amazon Web Services (AWS),Cloud Infrastructure,Network redesign
55,Amazon News RSS,How Amazon is building AI that takes action in the real world,https://www.aboutamazon.com/news/aws/how-amazon-builds-ai-agents?utm_source=rss,2026-05-28,Amazon is building AI agents that combine reliable foundation models with purpose-built infrastructure to deliver incredible accuracy on real-world tasks.,AWS,Market Intelligence Agent,2026/5/29,Amazon,Sustainability & Transportation,Shinkansen delivery network
56,Amazon News RSS,The radical network redesign that led AWS to forge a more resilient cloud,https://www.aboutamazon.com/stories/aws-random-graph-theory-data-center-network-design?utm_source=rss,2026-05-28,"How a Slack shout-out, a dusted-off academic theory, and a spaghetti monster led an AWS team to crack an elusive codeŚand deliver greater reliability and performance for customers.",AWS,Market Intelligence Agent,2026/5/29,Amazon,Sustainability,Water conservation initiatives
57,TechCrunch AI RSS,So youĺve heard these AI terms and nodded along; letĺs fix that,https://techcrunch.com/2026/05/29/artificial-intelligence-definition-glossary-hallucinations-guide-to-common-ai-terms/,2026-05-29,The rise of AI has brought an avalanche of new terms and slang. Here is a glossary with definitions of some of the most important words and phrases you might encounter.,"0:AI
1:artificial intelligence
2:evergreens
3:Glossary",Market Intelligence Agent,2026/5/29,TechCrunch,Artificial Intelligence,AI Glossary
58,TechCrunch AI RSS,What happens when companies become too AI-pilled?,https://techcrunch.com/video/what-happens-when-companies-become-too-ai-pilled/,2026-05-29,"The people deciding that AI can replace your job are also the ones least likely to understand what your jobátruly involves, according to Box founder Aaron Levie, who pointed to this as an example ofáôAI psychosis.ö Indeed,áClickUpárecentlyácut 22% of its workforce for AI agents, tech layoffs in 2026 are already nearly matching all of 2025, [ů]","0:AI
1:Aaron Levie
2:AI agents
3:AI layoffs
4:ai psychosis
5:Amazon competition
6:AWS
7:Equity
8:openrouter
9:Snowflake
10:Stord
11:Waymo robotaxi",Market Intelligence Agent,2026/5/29,TechCrunch,Artificial Intelligence,AI layoffs and AI agents
59,TechCrunch AI RSS,"After Nvidiaĺs $20B not-aqui-hire, AI chip startup Groq reportedly raising $650M",https://techcrunch.com/2026/05/29/after-nvidias-20b-not-aqui-hire-ai-chip-startup-groq-reportedly-raising-650m/,2026-05-29,"Chipmaker Groq is looking to raise $650 million in internal funding as it pivots from hardware to focus more on AI inference, the process of refining the way AI models respond to prompted requests, per Axios.","	
0:AI
1:Startups
2:Venture
3:AI chips
4:groq
5:In Brief
6:nvidia",Market Intelligence Agent,2026/5/29,Groq,AI Hardware,$650M funding round
60,TechCrunch AI RSS,Cognitionĺs Scott Wu says AI coding agents shouldnĺt replace humans,https://techcrunch.com/2026/05/29/cognitions-scott-wu-says-ai-coding-agents-shouldnt-replace-humans/,2026-05-29,"Cognition makes Devin, the first and arguably most successful AI coding agent. But famed coder Wu says it isn't designed to supplant human programmers.","0:AI
1:Startups
2:TC
3:AI agents
4:ai coding
5:cognition
6:Devin
7:scott wu",Market Intelligence Agent,2026/5/29,Cognition,AI Software,Devin AI coding agent
61,TechCrunch AI RSS,Today is the lastáday to apply to speak at TechCrunch Disrupt 2026,https://techcrunch.com/2026/05/29/today-is-the-last-day-to-apply-to-speak-at-techcrunch-disrupt-2026/,2026-05-29,Submit your session topic before today ends for a chance to speak at TechCrunch Disrupt 2026. Apply now to share your insight and help shape the conversations defining the tech industry.,"0:AI
1:Apps
2:Biotech & Health
3:Climate
4:Crypto
5:Enterprise
6:Fintech
7:Fundraising
8:Government & Policy
9:Hardware
10:Media & Entertainment
11:Robotics
12:Startups
13:Transportation
14:Venture
15:TechCrunch Disrupt 2026",Market Intelligence Agent,2026/5/29,TechCrunch,Technology Events,TechCrunch Disrupt 2026
62,TechCrunch AI RSS,Final 24 hours to save up to $410 on your TechCrunch Disrupt 2026 ticket,https://techcrunch.com/2026/05/29/final-24-hours-to-save-up-to-410-on-your-techcrunch-disrupt-2026-ticket/,2026-05-29,"You now have until tonight at 11:59 p.m. PT to lock in Early Bird savings of up to $410 for TechCrunch Disrupt 2026 before prices increase. Join 10,000+ tech leaders in October for one of the most anticipated tech events of the year. Register now.","0:AI
1:Apps
2:Biotech & Health
3:Climate
4:Crypto
5:Fintech
6:Fundraising
7:Hardware
8:Robotics
9:Security
10:Startups
11:Transportation
12:Venture
13:TechCrunch Disrupt 2026",Market Intelligence Agent,2026/5/29,TechCrunch,Technology Events,$410 ticket discount
63,TechCrunch AI RSS,Kiwibitĺs AI-powered bird feeder is my new backyard buddy,https://techcrunch.com/2026/05/29/kiwibits-ai-powered-bird-feeder-is-my-new-backyard-buddy/,2026-05-29,"If you're looking for a fun way to connect with nature while collecting bird species on an app like PokÚmon, give this smart feeder a try.","0:AI
1:Hardware
2:AI detection
3:bird feeders",Market Intelligence Agent,2026/5/29,Kiwibit,AI Hardware,AI-powered bird feeder
64,TechCrunch AI RSS,This chip startup just raised $135M on a bet that AIĺs biggest bottleneck isnĺt compute Ś itĺs memory,https://techcrunch.com/2026/05/29/xcena-secures-135m-at-570m-valuation-betting-on-memory-as-ais-real-bottleneck/,2026-05-29,"South Korean chip startup XCENA is betting that AI's real bottleneck is not compute, but memory.","	
0:AI
1:Startups
2:dram
3:memory chip shortage
4:memory chips
5:Samsung Electronics
6:SK Hynix
7:south korea
8:XCENA",Market Intelligence Agent,2026/5/29,XCENA,Semiconductors & AI Hardware,$135M funding round
65,TechCrunch AI RSS,Gleanĺs top line crosses $300M as AI budget cutting becomes its major selling point,https://techcrunch.com/2026/05/28/gleans-top-line-crosses-300m-as-ai-budget-cutting-becomes-its-major-selling-point/,2026-05-29,The enterprise AI search startup tripled its annual revenue even as tech giants entered the category.,"0:AI
1:Enterprise
2:Startups
3:AI search
4:Glean
5:revenue",Market Intelligence Agent,2026/5/29,Glean,Enterprise AI,$300M annual revenue
66,TechCrunch AI RSS,The internet is being rebuilt for machines,https://techcrunch.com/2026/05/28/the-internet-is-being-rebuilt-for-machines/,2026-05-28,"As AI agents move from experiments to production, AWS, Cloudflare, and others are redesigning cloud infrastructure for a future dominated by machine-generated internet traffic instead of human users.","0:AI
1:agentic search
2:AI agents
3:AWS
4:aws opensearch serverless",Market Intelligence Agent,2026/5/29,AWS,Cloud Computing & AI Infrastructure,AWS and AI agents
