record_id,source,type,rule_id,wcag_criterion,conformance_level,title,description,help_url,tags,url,published_date,collected_at,quality
axe_area-alt,axe-core,rule,area-alt,1.1.1,A,Active area elements must have alternate text,Ensures area elements of image maps have alternate text,https://dequeuniversity.com/rules/axe/4.9/area-alt,wcag2a wcag111 cat.text-alternatives,https://dequeuniversity.com/rules/axe/4.9/area-alt,,2026-05-22,complete
axe_aria-allowed-attr,axe-core,rule,aria-allowed-attr,4.1.2,AA,Elements must only use allowed ARIA attributes,Ensures ARIA attributes are allowed for an element's role,https://dequeuniversity.com/rules/axe/4.9/aria-allowed-attr,wcag2a wcag412 cat.aria,https://dequeuniversity.com/rules/axe/4.9/aria-allowed-attr,,2026-05-22,complete
axe_aria-command-name,axe-core,rule,aria-command-name,4.1.2,A,All ARIA command role elements must have an accessible name,Ensures every ARIA button link and menuitem role element has an accessible name,https://dequeuniversity.com/rules/axe/4.9/aria-command-name,wcag2a wcag412 cat.aria,https://dequeuniversity.com/rules/axe/4.9/aria-command-name,,2026-05-22,complete
axe_aria-hidden-body,axe-core,rule,aria-hidden-body,4.1.2,A,aria-hidden attribute must not be present on the document body,Ensures aria-hidden attribute is not present on the document body element,https://dequeuniversity.com/rules/axe/4.9/aria-hidden-body,wcag2a wcag412 cat.aria,https://dequeuniversity.com/rules/axe/4.9/aria-hidden-body,,2026-05-22,complete
axe_aria-hidden-focus,axe-core,rule,aria-hidden-focus,4.1.2,AA,ARIA hidden element must not contain focusable elements,Ensures that aria-hidden elements do not contain focusable elements,https://dequeuniversity.com/rules/axe/4.9/aria-hidden-focus,wcag2a wcag412 cat.aria,https://dequeuniversity.com/rules/axe/4.9/aria-hidden-focus,,2026-05-22,complete
axe_aria-input-field-name,axe-core,rule,aria-input-field-name,4.1.2,A,ARIA input fields must have an accessible name,Ensures every ARIA input role element has an accessible name,https://dequeuniversity.com/rules/axe/4.9/aria-input-field-name,wcag2a wcag412 cat.aria,https://dequeuniversity.com/rules/axe/4.9/aria-input-field-name,,2026-05-22,complete
axe_aria-meter-name,axe-core,rule,aria-meter-name,1.1.1,A,ARIA meter nodes must have an accessible name,Ensures every ARIA meter node has an accessible name,https://dequeuniversity.com/rules/axe/4.9/aria-meter-name,wcag2a wcag111 cat.aria,https://dequeuniversity.com/rules/axe/4.9/aria-meter-name,,2026-05-22,complete
axe_aria-progressbar-name,axe-core,rule,aria-progressbar-name,1.1.1,A,ARIA progressbar nodes must have an accessible name,Ensures every ARIA progressbar node has an accessible name,https://dequeuniversity.com/rules/axe/4.9/aria-progressbar-name,wcag2a wcag111 cat.aria,https://dequeuniversity.com/rules/axe/4.9/aria-progressbar-name,,2026-05-22,complete
axe_aria-required-attr,axe-core,rule,aria-required-attr,4.1.2,A,Required ARIA attributes must be provided,Ensures elements with ARIA roles have all required ARIA attributes,https://dequeuniversity.com/rules/axe/4.9/aria-required-attr,wcag2a wcag412 cat.aria,https://dequeuniversity.com/rules/axe/4.9/aria-required-attr,,2026-05-22,complete
axe_aria-required-children,axe-core,rule,aria-required-children,1.3.1,A,Certain ARIA roles must contain particular children,Ensures elements with an ARIA role that require child roles contain them,https://dequeuniversity.com/rules/axe/4.9/aria-required-children,wcag2a wcag131 cat.aria,https://dequeuniversity.com/rules/axe/4.9/aria-required-children,,2026-05-22,complete
axe_aria-required-parent,axe-core,rule,aria-required-parent,1.3.1,A,Certain ARIA roles must be contained by particular parents,Ensures elements with an ARIA role that require parent roles are contained by them,https://dequeuniversity.com/rules/axe/4.9/aria-required-parent,wcag2a wcag131 cat.aria,https://dequeuniversity.com/rules/axe/4.9/aria-required-parent,,2026-05-22,complete
axe_aria-roles,axe-core,rule,aria-roles,4.1.2,A,All ARIA roles must be valid,Ensures all elements with a role attribute use a valid value,https://dequeuniversity.com/rules/axe/4.9/aria-roles,wcag2a wcag412 cat.aria,https://dequeuniversity.com/rules/axe/4.9/aria-roles,,2026-05-22,complete
axe_aria-toggle-field-name,axe-core,rule,aria-toggle-field-name,4.1.2,A,ARIA toggle field elements must have an accessible name,Ensures every ARIA toggle field element has an accessible name,https://dequeuniversity.com/rules/axe/4.9/aria-toggle-field-name,wcag2a wcag412 cat.aria,https://dequeuniversity.com/rules/axe/4.9/aria-toggle-field-name,,2026-05-22,complete
axe_aria-tooltip-name,axe-core,rule,aria-tooltip-name,4.1.2,A,ARIA tooltip nodes must have an accessible name,Ensures every ARIA tooltip node has an accessible name,https://dequeuniversity.com/rules/axe/4.9/aria-tooltip-name,wcag2a wcag412 cat.aria,https://dequeuniversity.com/rules/axe/4.9/aria-tooltip-name,,2026-05-22,complete
axe_aria-treeitem-name,axe-core,rule,aria-treeitem-name,4.1.2,A,ARIA treeitem nodes must have an accessible name,Ensures every ARIA treeitem node has an accessible name,https://dequeuniversity.com/rules/axe/4.9/aria-treeitem-name,wcag2a wcag412 cat.aria,https://dequeuniversity.com/rules/axe/4.9/aria-treeitem-name,,2026-05-22,complete
axe_aria-valid-attr,axe-core,rule,aria-valid-attr,4.1.2,A,ARIA attributes must conform to valid names,Ensures attributes that begin with aria- are valid ARIA attributes,https://dequeuniversity.com/rules/axe/4.9/aria-valid-attr,wcag2a wcag412 cat.aria,https://dequeuniversity.com/rules/axe/4.9/aria-valid-attr,,2026-05-22,complete
axe_aria-valid-attr-value,axe-core,rule,aria-valid-attr-value,4.1.2,A,ARIA attributes must conform to valid values,Ensures all ARIA attributes have valid values,https://dequeuniversity.com/rules/axe/4.9/aria-valid-attr-value,wcag2a wcag412 cat.aria,https://dequeuniversity.com/rules/axe/4.9/aria-valid-attr-value,,2026-05-22,complete
axe_button-name,axe-core,rule,button-name,4.1.2,A,Buttons must have discernible text,Ensures buttons have discernible text,https://dequeuniversity.com/rules/axe/4.9/button-name,wcag2a wcag412 cat.name-role-value,https://dequeuniversity.com/rules/axe/4.9/button-name,,2026-05-22,complete
axe_bypass,axe-core,rule,bypass,2.4.1,A,Page must contain a skip navigation link,Ensures each page and document has at least one mechanism for a user to bypass navigation,https://dequeuniversity.com/rules/axe/4.9/bypass,wcag2a wcag241 cat.keyboard,https://dequeuniversity.com/rules/axe/4.9/bypass,,2026-05-22,complete
axe_color-contrast,axe-core,rule,color-contrast,1.4.3,AA,Elements must have sufficient color contrast,Ensures the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.9/color-contrast,wcag2aa wcag143 cat.color,https://dequeuniversity.com/rules/axe/4.9/color-contrast,,2026-05-22,complete
axe_color-contrast-enhanced,axe-core,rule,color-contrast-enhanced,1.4.6,AAA,Elements must have sufficient color contrast (Level AAA),Ensures the contrast between foreground and background colors meets WCAG 2 AAA enhanced contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.9/color-contrast-enhanced,wcag2aaa wcag146 cat.color,https://dequeuniversity.com/rules/axe/4.9/color-contrast-enhanced,,2026-05-22,complete
axe_definition-list,axe-core,rule,definition-list,1.3.1,A,dl elements must only directly contain properly-ordered dt and dd groups,Ensures dl elements are structured correctly,https://dequeuniversity.com/rules/axe/4.9/definition-list,wcag2a wcag131 cat.structure,https://dequeuniversity.com/rules/axe/4.9/definition-list,,2026-05-22,complete
axe_dlitem,axe-core,rule,dlitem,1.3.1,A,dt and dd elements must be contained by a dl,Ensures dt and dd elements are contained by a dl,https://dequeuniversity.com/rules/axe/4.9/dlitem,wcag2a wcag131 cat.structure,https://dequeuniversity.com/rules/axe/4.9/dlitem,,2026-05-22,complete
axe_document-title,axe-core,rule,document-title,2.4.2,A,Documents must have a non-empty title element,Ensures each HTML document contains a non-empty title element,https://dequeuniversity.com/rules/axe/4.9/document-title,wcag2a wcag242 cat.text-alternatives,https://dequeuniversity.com/rules/axe/4.9/document-title,,2026-05-22,complete
axe_duplicate-id,axe-core,rule,duplicate-id,4.1.1,A,id attribute value must be unique,Ensures every id attribute value is unique,https://dequeuniversity.com/rules/axe/4.9/duplicate-id,wcag2a wcag411 cat.parsing,https://dequeuniversity.com/rules/axe/4.9/duplicate-id,,2026-05-22,complete
axe_duplicate-id-active,axe-core,rule,duplicate-id-active,4.1.1,A,IDs of active interactive elements must be unique,Ensures every id attribute value of active elements is unique,https://dequeuniversity.com/rules/axe/4.9/duplicate-id-active,wcag2a wcag411 cat.parsing,https://dequeuniversity.com/rules/axe/4.9/duplicate-id-active,,2026-05-22,complete
axe_duplicate-id-aria,axe-core,rule,duplicate-id-aria,4.1.1,A,IDs used in ARIA and labels must be unique,Ensures every id attribute value used in ARIA and in labels is unique,https://dequeuniversity.com/rules/axe/4.9/duplicate-id-aria,wcag2a wcag411 cat.parsing,https://dequeuniversity.com/rules/axe/4.9/duplicate-id-aria,,2026-05-22,complete
axe_form-field-multiple-labels,axe-core,rule,form-field-multiple-labels,1.3.1,A,Form fields must not have multiple labels,Ensures form field does not have multiple label elements,https://dequeuniversity.com/rules/axe/4.9/form-field-multiple-labels,wcag2a wcag131 cat.forms,https://dequeuniversity.com/rules/axe/4.9/form-field-multiple-labels,,2026-05-22,complete
axe_frame-focusable-content,axe-core,rule,frame-focusable-content,2.1.1,A,Frames with focusable content must not have tabindex=-1,Ensures frame or iframe elements with focusable content do not have tabindex=-1,https://dequeuniversity.com/rules/axe/4.9/frame-focusable-content,wcag2a wcag211 cat.keyboard,https://dequeuniversity.com/rules/axe/4.9/frame-focusable-content,,2026-05-22,complete
axe_frame-title,axe-core,rule,frame-title,2.4.1,A,Frames must have an accessible name,Ensures frame and iframe elements have an accessible name,https://dequeuniversity.com/rules/axe/4.9/frame-title,wcag2a wcag241 cat.text-alternatives,https://dequeuniversity.com/rules/axe/4.9/frame-title,,2026-05-22,complete
axe_html-has-lang,axe-core,rule,html-has-lang,3.1.1,A,html element must have a lang attribute,Ensures every HTML document has a lang attribute,https://dequeuniversity.com/rules/axe/4.9/html-has-lang,wcag2a wcag311 cat.language,https://dequeuniversity.com/rules/axe/4.9/html-has-lang,,2026-05-22,complete
axe_html-lang-valid,axe-core,rule,html-lang-valid,3.1.1,A,html element must have a valid value for the lang attribute,Ensures the lang attribute of the html element has a valid value,https://dequeuniversity.com/rules/axe/4.9/html-lang-valid,wcag2a wcag311 cat.language,https://dequeuniversity.com/rules/axe/4.9/html-lang-valid,,2026-05-22,complete
axe_html-xml-lang-mismatch,axe-core,rule,html-xml-lang-mismatch,3.1.1,A,HTML elements with both lang and xml:lang attributes must have the same base language,Ensures that HTML elements with both valid lang and xml:lang attributes agree on the base language of the page,https://dequeuniversity.com/rules/axe/4.9/html-xml-lang-mismatch,wcag2a wcag311 cat.language,https://dequeuniversity.com/rules/axe/4.9/html-xml-lang-mismatch,,2026-05-22,complete
axe_image-alt,axe-core,rule,image-alt,1.1.1,A,Images must have alternate text,Ensures img elements have alternate text or a role of none or presentation,https://dequeuniversity.com/rules/axe/4.9/image-alt,wcag2a wcag111 cat.text-alternatives,https://dequeuniversity.com/rules/axe/4.9/image-alt,,2026-05-22,complete
axe_image-redundant-alt,axe-core,rule,image-redundant-alt,1.1.1,A,Image alternative text must not be redundant to adjacent text,Ensure image alternative is not repeated as text,https://dequeuniversity.com/rules/axe/4.9/image-redundant-alt,wcag2a wcag111 cat.text-alternatives,https://dequeuniversity.com/rules/axe/4.9/image-redundant-alt,,2026-05-22,complete
axe_input-button-name,axe-core,rule,input-button-name,4.1.2,A,Input buttons must have discernible text,Ensures input buttons have discernible text,https://dequeuniversity.com/rules/axe/4.9/input-button-name,wcag2a wcag412 cat.name-role-value,https://dequeuniversity.com/rules/axe/4.9/input-button-name,,2026-05-22,complete
axe_input-image-alt,axe-core,rule,input-image-alt,1.1.1,A,Image buttons must have alternate text,Ensures input elements with type=image have alternate text,https://dequeuniversity.com/rules/axe/4.9/input-image-alt,wcag2a wcag111 cat.text-alternatives,https://dequeuniversity.com/rules/axe/4.9/input-image-alt,,2026-05-22,complete
axe_keyboard,axe-core,rule,keyboard,2.1.1,A,All interactive elements must be navigable via keyboard,Ensures all functionality is accessible using only the keyboard,https://dequeuniversity.com/rules/axe/4.9/keyboard,wcag2a wcag211 cat.keyboard,https://dequeuniversity.com/rules/axe/4.9/keyboard,,2026-05-22,complete
axe_label,axe-core,rule,label,1.3.1,A,Form elements must have labels,Ensures every form element has a label,https://dequeuniversity.com/rules/axe/4.9/label,wcag2a wcag131 cat.forms,https://dequeuniversity.com/rules/axe/4.9/label,,2026-05-22,complete
axe_label-content-name-mismatch,axe-core,rule,label-content-name-mismatch,2.5.3,AA,Elements with visible text label must have an accessible name that includes the visible text label,Ensures that elements labelled through their content must have their visible text as part of their accessible name,https://dequeuniversity.com/rules/axe/4.9/label-content-name-mismatch,wcag21aa wcag253 cat.semantics,https://dequeuniversity.com/rules/axe/4.9/label-content-name-mismatch,,2026-05-22,complete
axe_landmark-banner-is-top-level,axe-core,rule,landmark-banner-is-top-level,1.3.6,AA,Banner landmark must not be nested in another landmark,Ensures the banner role is used correctly so that all users can benefit from the functionality it provides,https://dequeuniversity.com/rules/axe/4.9/landmark-banner-is-top-level,wcag2aa wcag136 cat.semantics,https://dequeuniversity.com/rules/axe/4.9/landmark-banner-is-top-level,,2026-05-22,complete
axe_landmark-complementary-is-top-level,axe-core,rule,landmark-complementary-is-top-level,1.3.6,AA,Aside elements must be top-level unless they are nestable,Ensures the complementary role is used correctly so that all users can benefit,https://dequeuniversity.com/rules/axe/4.9/landmark-complementary-is-top-level,wcag2aa wcag136 cat.semantics,https://dequeuniversity.com/rules/axe/4.9/landmark-complementary-is-top-level,,2026-05-22,complete
axe_landmark-contentinfo-is-top-level,axe-core,rule,landmark-contentinfo-is-top-level,1.3.6,AA,Contentinfo landmark must not be nested in another landmark,Ensures the contentinfo role is used correctly,https://dequeuniversity.com/rules/axe/4.9/landmark-contentinfo-is-top-level,wcag2aa wcag136 cat.semantics,https://dequeuniversity.com/rules/axe/4.9/landmark-contentinfo-is-top-level,,2026-05-22,complete
axe_landmark-main-is-top-level,axe-core,rule,landmark-main-is-top-level,1.3.6,AA,Main landmark must not be nested in another landmark,Ensures the main role attribute is used correctly,https://dequeuniversity.com/rules/axe/4.9/landmark-main-is-top-level,wcag2aa wcag136 cat.semantics,https://dequeuniversity.com/rules/axe/4.9/landmark-main-is-top-level,,2026-05-22,complete
axe_landmark-no-duplicate-banner,axe-core,rule,landmark-no-duplicate-banner,1.3.6,AA,Document must not have more than one banner landmark,Ensures the document has at most one banner landmark,https://dequeuniversity.com/rules/axe/4.9/landmark-no-duplicate-banner,wcag2aa wcag136 cat.semantics,https://dequeuniversity.com/rules/axe/4.9/landmark-no-duplicate-banner,,2026-05-22,complete
axe_landmark-no-duplicate-contentinfo,axe-core,rule,landmark-no-duplicate-contentinfo,1.3.6,AA,Document must not have more than one contentinfo landmark,Ensures the document has at most one contentinfo landmark,https://dequeuniversity.com/rules/axe/4.9/landmark-no-duplicate-contentinfo,wcag2aa wcag136 cat.semantics,https://dequeuniversity.com/rules/axe/4.9/landmark-no-duplicate-contentinfo,,2026-05-22,complete
axe_landmark-no-duplicate-main,axe-core,rule,landmark-no-duplicate-main,1.3.6,AA,Document must not have more than one main landmark,Ensures the document has at most one main landmark,https://dequeuniversity.com/rules/axe/4.9/landmark-no-duplicate-main,wcag2aa wcag136 cat.semantics,https://dequeuniversity.com/rules/axe/4.9/landmark-no-duplicate-main,,2026-05-22,complete
axe_landmark-one-main,axe-core,rule,landmark-one-main,1.3.6,AA,Document must have one main landmark,Ensures the document has a main landmark,https://dequeuniversity.com/rules/axe/4.9/landmark-one-main,wcag2aa wcag136 cat.semantics,https://dequeuniversity.com/rules/axe/4.9/landmark-one-main,,2026-05-22,complete
axe_landmark-unique,axe-core,rule,landmark-unique,1.3.6,AA,Landmarks should have a unique role or role/label/title combination,Ensures landmarks are unique,https://dequeuniversity.com/rules/axe/4.9/landmark-unique,wcag2aa wcag136 cat.semantics,https://dequeuniversity.com/rules/axe/4.9/landmark-unique,,2026-05-22,complete
axe_link-in-text-block,axe-core,rule,link-in-text-block,1.4.1,A,Links must be distinguishable without relying on color,Ensure links are distinguished from surrounding text in a way that does not rely on color,https://dequeuniversity.com/rules/axe/4.9/link-in-text-block,wcag2a wcag141 cat.color,https://dequeuniversity.com/rules/axe/4.9/link-in-text-block,,2026-05-22,complete
axe_link-name,axe-core,rule,link-name,2.4.4,A,Links must have discernible text,Ensures links have discernible text,https://dequeuniversity.com/rules/axe/4.9/link-name,wcag2a wcag244 cat.name-role-value,https://dequeuniversity.com/rules/axe/4.9/link-name,,2026-05-22,complete
axe_list,axe-core,rule,list,1.3.1,A,list element must only directly contain allowed elements,Ensures that lists are structured correctly,https://dequeuniversity.com/rules/axe/4.9/list,wcag2a wcag131 cat.structure,https://dequeuniversity.com/rules/axe/4.9/list,,2026-05-22,complete
axe_listitem,axe-core,rule,listitem,1.3.1,A,List item elements must be contained in a list or group role,Ensures li elements are used semantically,https://dequeuniversity.com/rules/axe/4.9/listitem,wcag2a wcag131 cat.structure,https://dequeuniversity.com/rules/axe/4.9/listitem,,2026-05-22,complete
axe_meta-refresh,axe-core,rule,meta-refresh,2.2.1,A,Ensure that time-based content does not automatically redirect or refresh,Ensures meta-refresh is not used for delayed action,https://dequeuniversity.com/rules/axe/4.9/meta-refresh,wcag2a wcag221 cat.time-and-media,https://dequeuniversity.com/rules/axe/4.9/meta-refresh,,2026-05-22,complete
axe_meta-viewport,axe-core,rule,meta-viewport,1.4.4,AA,zoom and maximum-scale in the viewport meta tag must not be disabled,Ensures meta-viewport does not disable text scaling and zooming,https://dequeuniversity.com/rules/axe/4.9/meta-viewport,wcag2aa wcag144 cat.sensory-and-visual-cues,https://dequeuniversity.com/rules/axe/4.9/meta-viewport,,2026-05-22,complete
axe_nested-interactive,axe-core,rule,nested-interactive,4.1.2,A,Interactive controls must not be nested,Ensures interactive controls are not nested as they are not always announced by screen readers,https://dequeuniversity.com/rules/axe/4.9/nested-interactive,wcag2a wcag412 cat.keyboard,https://dequeuniversity.com/rules/axe/4.9/nested-interactive,,2026-05-22,complete
axe_no-autoplay-audio,axe-core,rule,no-autoplay-audio,1.4.2,A,An element that plays audio must not auto play for more than 3 seconds,Ensures audio or video elements do not autoplay audio for more than 3 seconds without providing an audio control mechanism to turn off or control the volume,https://dequeuniversity.com/rules/axe/4.9/no-autoplay-audio,wcag2a wcag142 cat.time-and-media,https://dequeuniversity.com/rules/axe/4.9/no-autoplay-audio,,2026-05-22,complete
axe_object-alt,axe-core,rule,object-alt,1.1.1,A,Object elements must have alternate text,Ensures object elements have alternate text,https://dequeuniversity.com/rules/axe/4.9/object-alt,wcag2a wcag111 cat.text-alternatives,https://dequeuniversity.com/rules/axe/4.9/object-alt,,2026-05-22,complete
